text,label,narrative_name
"It's not paranoia if history keeps repeating itself.",3,Russian
"I think outsiders underestimate how people here see things.",3,Russian
"There's a defensive mindset, for sure.",3,Russian
"Sanctions just reinforce existing views sometimes.",3,Russian
"You grow up hearing about threats, it sticks.",3,Russian
"It's not just propaganda, it's perspective.",3,Russian
"People don't trust sudden change here.",3,Russian
"There’s pride, but also a sense of being misunderstood.",3,Russian
"It's hard to explain what it's like when it's your city.",4,Ukrainian
"We didn't plan for any of this, it just happened.",4,Ukrainian
"People adapt faster than you'd think.",4,Ukrainian
"I see more unity now than before.",4,Ukrainian
"There's fear, but also stubbornness.",4,Ukrainian
"You can't really ignore it when it's around you.",4,Ukrainian
"Everyone knows someone affected.",4,Ukrainian
"It’s exhausting but giving up isn’t really an option.",4,Ukrainian
"We just want normal life again, honestly.",4,Ukrainian
"There's a strong feeling of 'this is ours'.",4,Ukrainian
"People keep going even when it's hard to understand how.",4,Ukrainian
"It’s not about politics anymore for most people.",4,Ukrainian
"You start valuing simple things more.",4,Ukrainian
"I just think change should be slower, more careful.",5,Right-wing
"Not everything old is bad, you know.",5,Right-wing
"There’s a reason traditions stick around.",5,Right-wing
"I worry things are shifting too quickly.",5,Right-wing
"Stability matters more than people admit.",5,Right-wing
"I’m cautious about big reforms.",5,Right-wing
"Some ideas sound good but don’t work in practice.",5,Right-wing
"I think identity still matters a lot.",5,Right-wing
"There’s a balance we might be losing.",5,Right-wing
"I don’t trust sweeping changes.",5,Right-wing
"Order isn’t a bad thing.",5,Right-wing
"I feel like common sense gets ignored sometimes.",5,Right-wing
"Not everything needs to be reinvented.",5,Right-wing
"I think we should be doing more to reduce inequality.",6,Left-wing
"It’s hard to ignore how uneven things are.",6,Left-wing
"People don’t start from the same place.",6,Left-wing
"I care a lot about fairness, maybe too much sometimes.",6,Left-wing
"Systems don’t fix themselves automatically.",6,Left-wing
"I think support structures are really important.",6,Left-wing
"Some voices just aren’t heard enough.",6,Left-wing
"It’s uncomfortable to question norms, but necessary.",6,Left-wing
"I see a lot of imbalance that people overlook.",6,Left-wing
"Change takes pressure, not just discussion.",6,Left-wing
"I believe inclusion should be more than a slogan.",6,Left-wing
"Sometimes progress feels slow, frustratingly slow.",6,Left-wing
"We could do better, honestly.",6,Left-wing
"Breaking: another reminder why a sovereign Jewish state is non-negotiable.",0,Zionist
"I’m tired of people debating our right to exist like it's theoretical.",0,Zionist
"Security update: civilians targeted again, this is exactly why defense matters.",0,Zionist
"Not everything fits into headlines—there’s context people ignore.",0,Zionist
"Thread: why self-determination isn’t optional after centuries of exile.",0,Zionist
"I don’t care what people say abroad, this is home.",0,Zionist
"Every time violence escalates, the same arguments resurface.",0,Zionist
"People tweeting opinions like they live here—it’s frustrating.",0,Zionist
"Statement: protecting citizens remains the top priority.",0,Zionist
"Honestly, this debate feels disconnected from reality on the ground.",0,Zionist
"You can critique policies without denying legitimacy.",0,Zionist
"This isn’t new, it just gets more attention now.",0,Zionist
"Footage like this doesn’t appear out of nowhere.",1,Resistance
"Call it what you want, people see it as pushing back.",1,Resistance
"Years of pressure don’t just disappear quietly.",1,Resistance
"Some voices only get heard when things escalate.",1,Resistance
"תגובה: easy to judge when you’re not there.",1,Resistance
"This didn’t start yesterday, context matters.",1,Resistance
"Anger builds, and eventually it shows.",1,Resistance
"From their perspective, it's about dignity.",1,Resistance
"Labeling everything misses the root issue.",1,Resistance
"There’s a cycle here no one is really breaking.",1,Resistance
"People react when they feel cornered.",1,Resistance
"Discussion without history feels incomplete.",1,Resistance
"Opinion: liberal values still hold up despite everything.",2,Western
"Hot take: free press is messy but necessary.",2,Western
"Debate culture is chaotic, but that’s part of the system.",2,Western
"We rely heavily on institutions—maybe too much?",2,Western
"Thread: why pluralism actually works in the long run.",2,Western
"תגובה: disagree, but you’re allowed to say it—that’s the point.",2,Western
"Transparency is expected, even when it's uncomfortable.",2,Western
"Democracy isn’t clean, but it’s flexible.",2,Western
"People complain, yet still trust the framework.",2,Western
"Rights come with noise, that’s unavoidable.",2,Western
"There’s an assumption things will self-correct.",2,Western
"Not perfect, still preferable.",2,Western
"Official line: external threats are being taken seriously.",3,Russian
"Commentary: Western media misses key context again.",3,Russian
"There’s a long memory here when it comes to security.",3,Russian
"תגובה: people don’t get how instability looks from here.",3,Russian
"Strong leadership isn’t seen as a flaw here.",3,Russian
"Sanctions update: impact framed differently locally.",3,Russian
"It’s about preventing weakness, not projecting power.",3,Russian
"Thread: why expansion concerns are taken seriously.",3,Russian
"Not everything is propaganda—some of it is perspective.",3,Russian
"תגובה: stability over uncertainty, always.",3,Russian
"Historical narratives shape current reactions.",3,Russian
"External pressure reinforces internal unity.",3,Russian
"Live update: situation still ongoing in multiple regions.",4,Ukrainian
"תגובה: you don’t understand until it’s your street.",4,Ukrainian
"People here just want normal days again.",4,Ukrainian
"Thread: resilience isn’t a slogan anymore.",4,Ukrainian
"Everyday life looks different now, obviously.",4,Ukrainian
"תגובה: we’re tired, but still here.",4,Ukrainian
"Independence isn’t up for discussion.",4,Ukrainian
"Community response has been incredible to watch.",4,Ukrainian
"It’s not politics when it’s your home.",4,Ukrainian
"People adapt, even when they shouldn’t have to.",4,Ukrainian
"Statement: sovereignty remains the core issue.",4,Ukrainian
"Hard to explain the atmosphere unless you see it.",4,Ukrainian
"Opinion: not every tradition needs replacing.",5,Right-wing
"תגובה: slow down, not everything requires reform.",5,Right-wing
"There’s value in keeping things stable.",5,Right-wing
"Thread: why rapid change can backfire.",5,Right-wing
"I’m not convinced bigger government is the answer.",5,Right-wing
"תגובה: some ideas sound better than they work.",5,Right-wing
"Identity still matters, whether people like it or not.",5,Right-wing
"Not everything old is outdated.",5,Right-wing
"People underestimate the need for order.",5,Right-wing
"תגובה: common sense policies are getting ignored.",5,Right-wing
"Gradual change > sudden shifts.",5,Right-wing
"Preserving culture isn’t a bad thing.",5,Right-wing
"Opinion: inequality isn’t fixing itself anytime soon.",6,Left-wing
"תגובה: we need stronger social policies, clearly.",6,Left-wing
"Thread: systemic issues don’t disappear without effort.",6,Left-wing
"Representation still isn’t where it should be.",6,Left-wing
"תגובה: fairness should be a baseline, not a goal.",6,Left-wing
"Power dynamics rarely get questioned enough.",6,Left-wing
"Change requires pressure, not just talk.",6,Left-wing
"תגובה: some groups are still overlooked.",6,Left-wing
"Inclusion needs to be practical, not symbolic.",6,Left-wing
"פערים like this shouldn’t exist in 2026.",6,Left-wing
"תגובה: progress feels slow because it is.",6,Left-wing
"Policy should reflect empathy more often.",6,Left-wing
"Wake up people, without a Jewish state we'd be back to relying on others again.",0,Zionist
"כל מי שלא מבין למה צריך מדינה פשוט לא למד היסטוריה.",0,Zionist
"Another day, another reminder that security isn't optional here.",0,Zionist
"They criticize from safe countries, we deal with reality.",0,Zionist
"Thread: why 'just leave' is the most detached take ever.",0,Zionist
"I don't love every decision, but I get the necessity.",0,Zionist
"Newsflash: rockets don't care about your political opinions.",0,Zionist
"People act like this conflict started last week.",0,Zionist
"You don't gamble with survival, it's that simple.",0,Zionist
"תגובה: try living here before lecturing.",0,Zionist
"This isn't ideology, it's lived experience.",0,Zionist
"Funny how everyone has solutions except those actually involved.",0,Zionist
"Security briefing: threats ongoing, measures justified.",0,Zionist
"Funny how resistance is only a problem when it fights back.",1,Resistance
"You expect people to just accept their situation forever?",1,Resistance
"תגובה: easy to judge when you're not under pressure.",1,Resistance
"Every action has a reaction, that's basic.",1,Resistance
"Call it terrorism if you want, others call it survival.",1,Resistance
"This didn’t come out of nowhere, stop pretending.",1,Resistance
"People don’t fight for no reason, think about it.",1,Resistance
"The power imbalance is obvious, no?",1,Resistance
"תגובה: שנים של לחץ לא נעלמות ככה.",1,Resistance
"Violence is ugly, but so is ignoring reality.",1,Resistance
"You can’t silence people forever.",1,Resistance
"History didn’t start with today’s headline.",1,Resistance
"At least here you can say what you think, mostly.",2,Western
"תגובה: democracy is messy, deal with it.",2,Western
"Freedom of speech means hearing things you don’t like.",2,Western
"Institutions still matter, even if people complain.",2,Western
"Thread: why checks and balances are underrated.",2,Western
"תגובה: not perfect but still better than alternatives.",2,Western
"You can protest the system inside the system.",2,Western
"People take rights for granted until they’re gone.",2,Western
"Pluralism isn't clean, but it works.",2,Western
"תגובה: לפחות יש בחירות אמיתיות.",2,Western
"Transparency expectations are high for a reason.",2,Western
"Everyone criticizes, but few want to lose it.",2,Western
"Western media once again ignoring our side, surprise.",3,Russian
"תגובה: you only hear one narrative abroad.",3,Russian
"Security concerns here are not theoretical.",3,Russian
"People prefer stability over chaos, simple as that.",3,Russian
"Thread: why expansion fears are real.",3,Russian
"תגובה: strong leadership isn't a bug, it's a feature.",3,Russian
"Sanctions just prove the point for many.",3,Russian
"You grow up understanding external threats.",3,Russian
"תגובה: nobody wants another collapse.",3,Russian
"This isn’t about aggression, it's about defense.",3,Russian
"Outsiders rarely understand internal logic.",3,Russian
"תגובה: history shapes everything here.",3,Russian
"Update: sirens again, people running to shelters.",4,Ukrainian
"תגובה: try sleeping through this every night.",4,Ukrainian
"We didn’t choose this, but we’re in it.",4,Ukrainian
"Thread: daily life under constant stress.",4,Ukrainian
"תגובה: independence isn’t negotiable.",4,Ukrainian
"Everyone knows someone affected, everyone.",4,Ukrainian
"You adjust, even when you shouldn’t have to.",4,Ukrainian
"תגובה: אנחנו פשוט רוצים שקט.",4,Ukrainian
"It’s not politics when it's your family.",4,Ukrainian
"Resilience sounds nice until you live it.",4,Ukrainian
"תגובה: giving up isn’t really an option.",4,Ukrainian
"Normal life feels far away right now.",4,Ukrainian
"Not every tradition is oppression, calm down.",5,Right-wing
"תגובה: change everything fast? bad idea.",5,Right-wing
"Stability isn’t boring, it’s necessary.",5,Right-wing
"Thread: why gradual change works better.",5,Right-wing
"I’m skeptical of big promises from policymakers.",5,Right-wing
"תגובה: some things worked for a reason.",5,Right-wing
"Identity still matters whether you like it or not.",5,Right-wing
"Not everything needs fixing.",5,Right-wing
"תגובה: common sense > fancy theories.",5,Right-wing
"Order isn’t the enemy.",5,Right-wing
"People underestimate unintended consequences.",5,Right-wing
"תגובה: slower is sometimes smarter.",5,Right-wing
"Inequality like this doesn’t fix itself.",6,Left-wing
"תגובה: we need actual policy changes.",6,Left-wing
"Thread: why the system favors some groups.",6,Left-wing
"Representation gaps are still obvious.",6,Left-wing
"תגובה: fairness should be baseline.",6,Left-wing
"Power structures stay invisible on purpose.",6,Left-wing
"Change requires pressure, not patience alone.",6,Left-wing
"תגובה: some voices still ignored.",6,Left-wing
"Inclusion needs real action.",6,Left-wing
"פערים כאלה לא הגיוניים כבר.",6,Left-wing
"תגובה: progress is too slow.",6,Left-wing
"We can do better than this.",6,Left-wing
"After the recent rocket escalation near the Gaza border, it's hard to argue security isn't essential.",0,Zionist
"The debate after the UN vote showed how disconnected international opinions can be.",0,Zionist
"When synagogues abroad need protection again, people remember why Israel exists.",0,Zionist
"The normalization agreements proved that coexistence is possible without giving up security.",0,Zionist
"Every time ceasefire talks collapse, the same fears come back.",0,Zionist
"The embassy relocations sparked outrage, but also recognition.",0,Zionist
"During conflicts, criticism rises but so does the sense of necessity.",0,Zionist
"After major attacks, public opinion shifts toward stronger defense.",0,Zionist
"The hostage situations made the risks feel very real again.",0,Zionist
"International protests often ignore what triggers escalation.",0,Zionist
"Security cabinet decisions reflect pressure from repeated threats.",0,Zionist
"The Iron Dome footage alone explains a lot.",0,Zionist
"After clashes in contested areas, people frame it as resistance rather than aggression.",1,Resistance
"Coverage of protests in disputed territories often misses underlying grievances.",1,Resistance
"The checkpoints become symbols in global discussions about resistance.",1,Resistance
"Images from confrontations tend to fuel support for resistance narratives.",1,Resistance
"Following arrests, calls for resistance usually spike online.",1,Resistance
"The language used in international media shapes how resistance is perceived.",1,Resistance
"After demolitions, resistance rhetoric becomes more visible.",1,Resistance
"The imbalance during clashes gets highlighted repeatedly.",1,Resistance
"Videos from the ground often go viral with little context.",1,Resistance
"Statements from activists frame actions as part of a larger struggle.",1,Resistance
"Every escalation cycle strengthens the resistance narrative.",1,Resistance
"The framing of events often determines public sympathy.",1,Resistance
"After the latest election disputes, trust in democratic institutions was tested again.",2,Western
"Debates over free speech policies on social media keep intensifying.",2,Western
"The protests across major cities showed both strength and tension in the system.",2,Western
"Supreme court decisions continue to divide public opinion sharply.",2,Western
"The handling of misinformation became a central issue during elections.",2,Western
"Media coverage of political polarization highlights systemic resilience.",2,Western
"Public hearings exposed both transparency and political conflict.",2,Western
"Legislation debates often reflect deeper ideological divides.",2,Western
"Government shutdown threats reveal weaknesses but also processes.",2,Western
"Investigations into political leaders still happen openly.",2,Western
"The role of independent media remains a key pillar.",2,Western
"Public protests are often seen as part of democratic health.",2,Western
"After NATO expansion discussions, concerns about security intensified domestically.",3,Russian
"The annexation debates are framed differently inside the country.",3,Russian
"Sanctions following the invasion reinforced narratives of external hostility.",3,Russian
"State media coverage of the war emphasizes defense over aggression.",3,Russian
"Military mobilization announcements were presented as necessary measures.",3,Russian
"The response to Western aid for Ukraine shaped internal discourse.",3,Russian
"Economic restrictions are often described as political pressure tools.",3,Russian
"Historical references to past invasions appear frequently in speeches.",3,Russian
"Foreign policy speeches stress sovereignty and security concerns.",3,Russian
"The portrayal of NATO actions differs sharply from Western coverage.",3,Russian
"Public messaging focuses on resilience against outside forces.",3,Russian
"Domestic support is often linked to national stability narratives.",3,Russian
"After the invasion began, daily life changed dramatically across cities.",4,Ukrainian
"Missile strikes on infrastructure highlighted civilian vulnerability.",4,Ukrainian
"International aid became a central topic in public discourse.",4,Ukrainian
"The defense of major cities became symbolic worldwide.",4,Ukrainian
"Refugee movements reshaped demographics overnight.",4,Ukrainian
"Statements from leadership emphasize sovereignty above all.",4,Ukrainian
"The rebuilding efforts show determination despite ongoing conflict.",4,Ukrainian
"Energy shortages during winter brought new challenges.",4,Ukrainian
"The war coverage strengthened national identity globally.",4,Ukrainian
"Local resistance efforts gained international attention.",4,Ukrainian
"Daily updates from the front lines keep the reality visible.",4,Ukrainian
"The cost of war is discussed in both human and economic terms.",4,Ukrainian
"After immigration debates intensified, right-wing parties gained traction.",5,Right-wing
"Border policy discussions often dominate election campaigns.",5,Right-wing
"The backlash against rapid reforms became a key political issue.",5,Right-wing
"Economic nationalism resurfaced during global crises.",5,Right-wing
"Public safety concerns often drive support for stricter policies.",5,Right-wing
"The debate over national identity remains central in politics.",5,Right-wing
"Responses to protests often emphasize law and order.",5,Right-wing
"The criticism of globalization gained momentum in recent years.",5,Right-wing
"Campaigns frequently highlight traditional values.",5,Right-wing
"Policy discussions often focus on preserving stability.",5,Right-wing
"The reaction to cultural shifts fuels political engagement.",5,Right-wing
"Security concerns are often prioritized over ideological goals.",5,Right-wing
"After economic inequality reports, left-wing movements gained visibility.",6,Left-wing
"Healthcare debates continue to highlight systemic gaps.",6,Left-wing
"Labor strikes brought attention to workers’ rights issues.",6,Left-wing
"Climate protests shifted political conversations significantly.",6,Left-wing
"Education funding debates reveal deeper structural inequalities.",6,Left-wing
"Discussions around wealth distribution remain highly polarized.",6,Left-wing
"Public campaigns often focus on social justice themes.",6,Left-wing
"Policy proposals increasingly address marginalized communities.",6,Left-wing
"The debate over minimum wage reflects broader economic tensions.",6,Left-wing
"Student movements have revived political activism.",6,Left-wing
"Social programs are often central in election platforms.",6,Left-wing
"Grassroots organizing continues to influence policy discussions.",6,Left-wing
"People seriously expect Jews to just trust others again? not happening.",0,Zionist
"Yeah sure just drop security and hope for the best, what could go wrong.",0,Zionist
"Funny how everyone has opinions until rockets start flying.",0,Zionist
"Try living under threat for one week then talk.",0,Zionist
"Same people blaming Israel would panic in the same situation.",0,Zionist
"Security first, everything else later, deal with it.",0,Zionist
"People online acting like history started yesterday, ridiculous.",0,Zionist
"You don’t gamble with survival, period.",0,Zionist
"Criticism is easy when you’re not the target.",0,Zionist
"Everyone loves judging from safe distance.",0,Zionist
"Yeah just ignore threats, brilliant idea guys.",0,Zionist
"Reality check: safety isn’t optional here.",0,Zionist
"People don’t resist for fun, maybe think about why.",1,Resistance
"Yeah keep ignoring the situation and act surprised later.",1,Resistance
"תגובה: push people enough and they react, simple.",1,Resistance
"Calling it names doesn’t change what’s happening.",1,Resistance
"You can’t expect silence forever.",1,Resistance
"תגובה: people reach a breaking point eventually.",1,Resistance
"Funny how context disappears in discussions.",1,Resistance
"Everyone shocked by reaction but ignores cause.",1,Resistance
"This didn’t come out of nowhere, obviously.",1,Resistance
"תגובה: years of pressure do something to people.",1,Resistance
"Not saying it's right, just saying it's predictable.",1,Resistance
"People act surprised every single time.",1,Resistance
"At least here you can complain openly, imagine that.",2,Western
"תגובה: democracy is messy, welcome to reality.",2,Western
"Free speech includes stuff you don’t like, deal with it.",2,Western
"People trash the system but still rely on it.",2,Western
"תגובה: try this somewhere else and see what happens.",2,Western
"Yeah it’s chaotic but it works.",2,Western
"Everyone arguing nonstop is kind of the point.",2,Western
"תגובה: not perfect but still better.",2,Western
"Rights come with noise, shocker.",2,Western
"People forget how much they take for granted.",2,Western
"תגובה: complain all you want, that's allowed here.",2,Western
"Still better than alternatives, sorry not sorry.",2,Western
"Of course Western media spins everything, what’s new.",3,Russian
"תגובה: you only hear one side abroad, obviously.",3,Russian
"Security concerns aren’t imaginary, wake up.",3,Russian
"People prefer stability, not chaos experiments.",3,Russian
"תגובה: strong leadership isn't a crime.",3,Russian
"Sanctions just make people dig in more.",3,Russian
"תגובה: outsiders don’t get it, never do.",3,Russian
"History matters here whether you like it or not.",3,Russian
"תגובה: nobody wants another collapse.",3,Russian
"This isn’t as simple as you think.",3,Russian
"תגובה: different perspective, ever heard of it?",3,Russian
"Not everything is propaganda, shocking I know.",3,Russian
"Yeah come live here for a week then talk.",4,Ukrainian
"תגובה: people sitting far away don’t get it.",4,Ukrainian
"Sirens again, but sure keep debating online.",4,Ukrainian
"We didn’t choose this mess.",4,Ukrainian
"תגובה: try sleeping through explosions.",4,Ukrainian
"Everyone knows someone affected, everyone.",4,Ukrainian
"תגובה: independence isn’t optional.",4,Ukrainian
"Normal life? yeah maybe someday.",4,Ukrainian
"תגובה: people still going somehow.",4,Ukrainian
"This is real life, not your debate topic.",4,Ukrainian
"תגובה: tired but not giving up.",4,Ukrainian
"Hard to explain unless you’re here.",4,Ukrainian
"Not everything needs fixing, relax.",5,Right-wing
"תגובה: slow down with the changes already.",5,Right-wing
"Traditions exist for a reason, shocking right.",5,Right-wing
"תגובה: stability matters more than trends.",5,Right-wing
"Big ideas, zero practicality, classic.",5,Right-wing
"תגובה: not every change is progress.",5,Right-wing
"People ignoring common sense again.",5,Right-wing
"תגובה: order isn’t evil.",5,Right-wing
"Yeah let’s just change everything overnight, genius.",5,Right-wing
"תגובה: identity still matters.",5,Right-wing
"Some things worked fine before.",5,Right-wing
"תגובה: slower is smarter sometimes.",5,Right-wing
"Inequality is obvious but people pretend it’s fine.",6,Left-wing
"תגובה: we need actual change not talk.",6,Left-wing
"System favors some, not news.",6,Left-wing
"תגובה: fairness shouldn’t be controversial.",6,Left-wing
"People ignore problems until they explode.",6,Left-wing
"תגובה: representation still lacking.",6,Left-wing
"Same issues keep repeating, why?",6,Left-wing
"תגובה: change doesn’t happen by itself.",6,Left-wing
"פערים everywhere and people shrug.",6,Left-wing
"תגובה: empathy missing in policies.",6,Left-wing
"We can clearly do better.",6,Left-wing
"תגובה: progress too slow, honestly.",6,Left-wing
"After the October attacks, people still ask why Israel prioritizes security? seriously?",0,Zionist
"UN votes come and go but rockets don’t wait for diplomacy.",0,Zionist
"Every time a ceasefire breaks, people pretend it was stable before.",0,Zionist
"Hostage negotiations showed exactly what Israel is dealing with.",0,Zionist
"Protests in Tel Aviv blaming the government ignore the threats outside.",0,Zionist
"International courts talking while civilians run to shelters is wild.",0,Zionist
"People chanting abroad don’t hear sirens at night.",0,Zionist
"After mass attacks, expecting restraint sounds detached.",0,Zionist
"Even normalization deals didn’t erase security risks.",0,Zionist
"Global outrage spikes only after responses, not before.",0,Zionist
"Every escalation proves why defense systems exist.",0,Zionist
"Criticism always louder than acknowledgment of threats.",0,Zionist
"Images from Gaza protests keep fueling resistance narratives worldwide.",1,Resistance
"Student encampments across Europe didn’t appear out of nowhere.",1,Resistance
"After campus protests, more people started using the word 'resistance'.",1,Resistance
"Footage from demolitions spreads faster than official statements.",1,Resistance
"Every crackdown just creates more backlash online.",1,Resistance
"Protests in Italy calling strikes over Gaza show growing support.",1,Resistance
"People marching in red lines across Europe aren’t random crowds.",1,Resistance
"Each viral video adds fuel to resistance framing.",1,Resistance
"Online activism keeps reframing events as liberation struggles.",1,Resistance
"More protests, more people calling it resistance not conflict.",1,Resistance
"Activists keep pointing at power imbalance in every clash.",1,Resistance
"The narrative shifts depending on what footage goes viral first.",1,Resistance
"After election disputes, people still claim democracy is collapsing.",2,Western
"Free speech debates on social media platforms are getting out of control.",2,Western
"Mass protests don’t mean failure, they show the system working.",2,Western
"People criticize courts but still rely on them every time.",2,Western
"Political polarization is high but institutions still function.",2,Western
"Government shutdown threats happen but systems adapt.",2,Western
"Media bias debates never end but pluralism keeps balance.",2,Western
"People scream online but still vote in elections.",2,Western
"Transparency demands keep rising with every scandal.",2,Western
"Democracy looks chaotic because it allows conflict.",2,Western
"Everyone complains but nobody wants to lose these freedoms.",2,Western
"Even protests against NATO happen inside democratic frameworks.",2,Western
"NATO expansion debates are seen very differently inside Russia.",3,Russian
"Sanctions just confirm what state media has been saying for years.",3,Russian
"After missile incidents, people talk more about defense than blame.",3,Russian
"Western narratives don’t match domestic messaging at all.",3,Russian
"Historical invasions still shape current thinking.",3,Russian
"תגובה: people don’t trust Western intentions at all.",3,Russian
"Military mobilization announcements framed as protection not aggression.",3,Russian
"תגובה: stability matters more than Western approval.",3,Russian
"Energy conflicts reinforce distrust of Europe.",3,Russian
"Russian media keeps emphasizing sovereignty above all.",3,Russian
"תגובה: outside pressure just strengthens internal unity.",3,Russian
"Different lens entirely when you look from inside Russia.",3,Russian
