narrative_name,text,system_actors_roles,system_relations,system_values_hits,manual_actors,manual_roles,manual_threat,manual_responsibility,manual_causal_relations,manual_values,manual_preferred_action,annotator_notes
Left-wing,"An internal autopsy by the US Democratic party found Kamala Harris lost significant support in the 2024 election because of the Biden administration’s policy of arming and funding Israel’s genocide in Gaza, according to a report by American news website Axios.  The autopsy, which",United States=neutral(0.0); Democratic=neutral(0.0); Kamala Harris=neutral(0.0); Biden=neutral(0.0); Israel=neutral(0.0); Gaza=neutral(0.0); United States=neutral(0.0); Axios=neutral(0.0),"the Biden administration’s policy of arming and funding Israel’s genocide in Gaza, according to a report by American new --causes--> An internal autopsy by the US Democratic party found Kamala Harris lost significant support in the 2024 election (0.4)",,,,,,,,,
Left-wing,e-register.vote.nyc,,,,,,,,,,,
Left-wing,"My new book, Fight Oligarchy, is out today.   I hope you enjoy it.",Fightoligarchy=neutral(0.0),,,,,,,,,,
Left-wing,"🔁 RT @LeahFeiger: ‘It Is A Huge, Vast, Opportunity’: How OceanGate went from disruptive startup to catastrophic deepsea failure  read @timmarchman @josephfcox @neuwaves @mjgault:   https://t.co/hpb3Yp1QHo",Leahf=neutral(0.0); Oceangate=neutral(0.0),,,,,,,,,,
Left-wing,Gavin Newsom’s Cynical Embrace of the Anti-Trans Agenda   https://theintercept.com/2025/03/07/gavin-newsom-trans-democrats/,Gavinnewsom=neutral(0.0); The=neutral(0.0); Anti-transagenda=neutral(0.0),,,,,,,,,,
Left-wing,"🎥 ""They're definitely starting to hate Israel, why wouldn't they?""  Speaking to Piers Morgan on Piers Morgan Uncensored, Tucker Carlson said many supporters of Donald Trump feel “heartbroken” and “betrayed” over Washington’s continued backing of Israel.  Carlson argued that the voters who helped elect Trump expected a break from past US policy, including what he described as handing operational authority to Benjamin Netanyahu, saying many now believe the US relationship with Israel is “hurting us gravely” and “getting Americans killed”.  He added that Trump voters are turning against Israel as frustration grows over Washington’s continued alignment with the Israeli government's controversial policies.",Israel=neutral(0.0); Piers Morgan=neutral(0.0); Piers=neutral(0.0); Morgan=neutral(0.0); Unored=neutral(0.0); Tuckercarlson=neutral(0.0); Donaldtrump=neutral(0.0); United States=neutral(0.0); Israel=neutral(0.0); Carlson=victim(0.15); Trump=victim(0.15); United States=victim(0.15); Benjaminnetanyahu=victim(0.15); United States=victim(0.15); Israel=victim(0.15); United States=aggressor(0.85); Trump=neutral(0.0); Israel=neutral(0.0); United States=neutral(0.0); Israel=neutral(0.0),frustration --causes--> voters (0.5),,,,,,,,,
Left-wing,"The poll put the Greens in second place among voters of all ages, just two points behind Reform.",Greens=neutral(0.0); Reform=neutral(0.0),,,,,,,,,,
Left-wing,"It’s not 'radical' to want clean air, clean water, and a roof over your head. That's just basic survival.",,,ביטחון והישרדות,,,,,,,,
Left-wing,Abortion is healthcare. Full stop. Get your laws and your religion off our bodies.,,,,,,,,,,,
Left-wing,"The Turkish government has tightened controls on the transit and re-export of military equipment and defence-related items to third countries through Turkey under a new regulation introduced on Monday.  One Turkish official familiar with the matter said Ankara had decided to more closely monitor transit exports of these products because Turkey does not want to become a hub for illicit arms trading.  A Turkish defence industry expert, speaking anonymously to MEE, said certain arms dealers had been trying to use Turkey as a route for importing and exporting weapons from Eastern Europe and the Balkans into the region, and that Ankara was seeking to clamp down on such attempts through the new regulation.  🔗 https://www.middleeasteye.net/news/turkey-tightens-military-transit-rules-stop-illicit-arms-trade?utm_source=telegram&utm_medium=social&utm_campaign=social_traffic",Turkish=neutral(0.0); Turkey=neutral(0.0); Turkish=neutral(0.0); Ankara=neutral(0.0); Turkey=neutral(0.0); Turkish=neutral(0.0); MEE=neutral(0.0); Turkey=neutral(0.0); Easterneurope=neutral(0.0); Balkans=neutral(0.0); Ankara=neutral(0.0),Turkey --causes--> Ankara (0.5),ביטחון והישרדות,,,,,,,,
Left-wing,"On Labor Day 2025, we thank the trade union movement in America for protecting the needs of working families.  When labor unions do well, we all do well.  Let’s grow the trade union movement.",Laborday=neutral(0.0); United States=neutral(0.0),,ביטחון והישרדות,,,,,,,,
Left-wing,Healthcare debates expose systemic gaps clearly.,,,,,,,,,,,
Left-wing,"The wealth gap is at its highest point since the Gilded Age, and honestly, it's just not sustainable for a functioning society.",Gildedage=neutral(0.0),,,,,,,,,,
Resistance,Israeli opposition leader Yair Lapid discusses potential Gaza ceasefire deal at the Knesset @aljazeeraenglish,Israel=neutral(0.0); Yair Lapid=neutral(0.0); Gaza=neutral(0.0); Knesset=neutral(0.0),,,,,,,,,,
Resistance,"The Americans should know if they start a war, this time it will be a regional war.",United States=neutral(0.0),"United States --proposes_action--> know if they start a war , this time it will be a regional war . (0.55)",,,,,,,,,
Resistance,Breaking | Direct Iranian impact in southern occupied Palestine,Iran=neutral(0.0); Palestinians=neutral(0.0),,,,,,,,,,
Resistance,"Wallah, I just want to see the sea once without having to go through three different checkpoints.",Wallah=neutral(0.0),,,,,,,,,,
Resistance,"decisive and severe dealing with people who cooperate with the enemy  🔹First Deputy of the Judiciary: The judicial system will deal hard with people who are infiltrators, mercenaries and traitors and who cooperate and accompany the enemy under these conditions, and these people will not be included in any friendship. @TasnimNews",Judiciary=neutral(0.0); Tanin=neutral(0.0),,,,,,,,,,
Resistance,They talk about 'international law' only when it suits their imperialistic agenda. It's a joke.,,,,,,,,,,,
Resistance,"US Senator Chris Van Hollen sarcastically thanks Trump for the rise in gas prices:   ""Gas prices at one of my local stations in Maryland, today. All thanks to Donald Trump.""  Follow:  T.me/presstv",United States=neutral(0.0); Chrisvanhollen=neutral(0.0); Trump=neutral(0.0); Maryland=neutral(0.0); Donaldtrump=neutral(0.0),,,,,,,,,,
Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Syrianarab=neutral(0.0); United States=neutral(0.0); Israel=neutral(0.0); Gaza=neutral(0.0); Lebanon=neutral(0.0); Syria=neutral(0.0); Iran=neutral(0.0); Egypt=neutral(0.0); Turkey=neutral(0.0); Saudiarabia=neutral(0.0); Algeria=neutral(0.0); Iraq=neutral(0.0); Arab=aggressor(0.15); Islamic=aggressor(0.15); Netanyahu=aggressor(0.15); Trump=aggressor(0.15); Zionist=neutral(0.0); Zionist=neutral(0.0),they --opposes--> arrogance (0.45),,,,,,,,,
Resistance,"Sometimes I think the international community only cares when things get violent, otherwise we're forgotten.",,,סולידריות ואחריות קולקטיבית,,,,,,,,
Resistance,"Breaking | A 53-year-old Palestinian man was shot in the neck and chest, and another 54-year-old Palestinian man was injured in the foot by Israeli occupation forces in Tulkarem, according to the Palestinian Red Crescent.",Palestinians=neutral(0.0); Palestinians=neutral(0.0); Israel=neutral(0.0); Tulkarem=victim(0.7); Palestinianredcrescent=neutral(0.0),,,,,,,,,,
Resistance,"They call us 'terrorists,' but who really destabilized the entire region? Just look at Iraq, Afghanistan, Libya.",Iraq=neutral(0.0); Afghanistan=neutral(0.0); Libya=neutral(0.0),"They --proposes_action--> call us ' terrorists , ' but who really destabilized the entire region ? (0.35)",,,,,,,,,
Resistance,Biden's final address: Outgoing US president makes last Oval Office speech @aljazeeraenglish,Biden=neutral(0.0); United States=neutral(0.0); Ovaloffice=neutral(0.0),,,,,,,,,,
Resistance,"The resistance isn't just fighting, it's surviving, it's teaching, it's living despite everything.",,,,,,,,,,,
Resistance,"People of Shahrekord: As long as the blood is in our veins, the street is our stronghold  🔹 The people of Shahrekord rose again on the 22nd night of resistance and supported the armed forces. @TasnimNews",Shahrekord=neutral(0.0); Shahrekord=neutral(0.0); Tanimn=neutral(0.0),,,,,,,,,,
Resistance,"Kashmiris express support for Iran, donating jewellery, valuable assets amid US-Israeli aggression  @ PressTV",Kashmiris=neutral(0.0); Iran=neutral(0.0); United States=neutral(0.0); Israel=neutral(0.0); Presstv=neutral(0.0),,,,,,,,,,
Resistance,"I mean, how can the world just watch Gaza and do nothing, it's like we're not even human to them.",Gaza=neutral(0.0),,,,,,,,,,
Resistance,"American reporter: Why should our soldiers defend Israel?!  🔹Anna Kasparian, a famous American journalist: Our soldiers are now in Israel to defend the Israelis!  🔹I want to know… do Israelis pay for our military?  🔹Are they spending a trillion dollars a year on our military? No!  @TasnimNews",United States=neutral(0.0); Israel=neutral(0.0); 🔹annakasparian=neutral(0.0); United States=neutral(0.0); Israel=neutral(0.0); Israel=neutral(0.0); Israel=neutral(0.0); Tasnimnews=neutral(0.0),soldiers --protects--> Israel (0.45); soldiers --proposes_action--> defend Israel ? ! (0.35),ביטחון והישרדות,,,,,,,,
Resistance,"Israeli occupation authorities are demolishing a Palestinian-owned home on the outskirts of Duma village, southeast of Nablus, the occupied West Bank, citing construction without an Israeli permit.",Israel=neutral(0.0); Palestinians=neutral(0.0); Duma=neutral(0.0); Nablus=neutral(0.0); Westbank=neutral(0.0); Israel=neutral(0.0),,,,,,,,,,
Resistance,"For real, though, this can't go on forever. Change is coming, I really feel it in the air.",,,,,,,,,,,
Resistance,The so-called 'peace deals' are just thinly veiled attempts to normalize occupation. We reject them.,,We --opposes--> them (0.45),,,,,,,,,
Resistance,"Los Angeles wildfires displace thousands, spark housing crisis amid emotional and community loss @aljazeeraenglish",Losangeles=neutral(0.0),,סולידריות ואחריות קולקטיבית,,,,,,,,
Resistance,"CBS News poll: Majority of Americans say war with Iran is not going well, opposition rising  @PressTV",Cbsnews=neutral(0.0); United States=neutral(0.0); Iran=neutral(0.0); Presstv=neutral(0.0),,,,,,,,,,
Resistance,"Iran's National Gas Company confirmed that despite the US-Israeli attack this morning targeting gas facilities in South Iran, no region in the country is facing any constraints in gas supply.  The aggression, which occurred around 14:00 local time, caused damage to some refining units, but no casualties were reported, and all personnel remain safe and in good condition, according to the company.  It added that teams from the National Gas Company are on-site managing the situation and are restoring conditions to normal, and gas production continues under full safety protocols, as well as Iran's gas network.  The fire resulting from the  US-Israeli aggression at the South Pars gas field has been extinguished, according to the statement, and equipment cooling operations are now underway. Conditions are expected to return to normal soon.",Iran=neutral(0.0); Nationalgascompany=neutral(0.0); United States=neutral(0.0); Israel=neutral(0.0); Southiran=victim(0.7); Nationalgascompany=neutral(0.0); Iran=neutral(0.0); United States=neutral(0.0); Israel=neutral(0.0); Southpars=neutral(0.0),,ביטחון והישרדות,,,,,,,,
Resistance,"We will never normalize relations with an apartheid regime, never, ever, not a chance.",,,,,,,,,,,
Resistance,Activists keep pointing at power imbalance in every clash.,,,,,,,,,,,
Right-wing,Nearly 10% of Transportation Security Administration workers reportedly called in sick on Tuesday as the Democrats' partial government shutdown continued. MORE: https://bit.ly/4uEYK81,Transportationsecurityadministration=neutral(0.0); Democrats=neutral(0.0),% --proposes_action--> called in sick on Tuesday as the Democrats ' partial government shutdown continued . (0.35); shutdown --causes--> % (0.5),ביטחון והישרדות,,,,,,,,
Right-wing,"Bombshell Whistleblower Report: Mueller's Anti-Trump Witch Hunters Drank on the Job, Tried to Doctor Records, Violated Security Rules  The startling whistleblower report uncovers numerous allegations against the Mueller team that many people haven’t heard of even to this day.  https://w-j.co/s/47c18",Bombshellwhistleblow=neutral(0.0); Mueller=neutral(0.0); Anti=neutral(0.0); Trumpwitchhunters=neutral(0.0); Job=neutral(0.0); Doctorrecords=neutral(0.0); Securityrules=neutral(0.0); Mueller=neutral(0.0),,ביטחון והישרדות,,,,,,,,
Right-wing,Very cool!  https://1819news.com/news/item/poll-charlie-kirk-turning-point-usa-second-most-watched-conservative-platform-in-alabama-behind-fox-news,Al=neutral(0.0),,,,,,,,,,
Right-wing,“The assassination of political figures is not the same thing as just being shot in the throat for the crime of debating issues in the public square.” @benshapiro  discusses the terrifying reality of Charlie Kirk's assassination with  @billmaher  - and what it means for our nation.,Ben=neutral(0.0); Charliekirk=neutral(0.0),,,,,,,,,,
Right-wing,"SECRETARY HEGSETH on the media’s coverage of Operation Epic Fury:  “TDS is in their DNA. They want President Trump to fail. But you, the American people, know better.”",Operationepicfury=neutral(0.0); TD=neutral(0.0); Trump=neutral(0.0); United States=neutral(0.0),,,,,,,,,,
Right-wing,Pittsburgh police officers accused of ignoring ICE agents’ struggle with suspect,Pittsburgh=neutral(0.0); ICE=neutral(0.0),,,,,,,,,,
Right-wing,On the show today:   Steve Bannon acted as a key advisor to Jeffrey Epstein in the years leading up to his arrest;   MTG and Thomas Massie continue their campaign to seize control of MAGA;   and the UN greenlights Trump’s big Gaza plan.  Watch here:,Stevebannon=hero(0.15); Jeffreyepstein=hero(0.15); MTG=hero(0.15); Thomasmassie=hero(0.15); MAGA=hero(0.15); United Nations=hero(0.15); Trump=hero(0.15); Gaza=hero(0.15),,,,,,,,,,
Right-wing,"Competition drives excellence. Monopolies, especially government ones, are just terrible for consumers.",,,,,,,,,,,
Right-wing,"​BREAKING: Trump warns ICE will do airport security if Dems don't pass TSA, DHS funding  https://postmillennialnews.com/yga1xy",Trump=neutral(0.0); ICE=neutral(0.0); Dems=neutral(0.0); TSA=neutral(0.0); DHS=neutral(0.0),,ביטחון והישרדות,,,,,,,,
Right-wing,"CALLS FOR AN INVESTIGATION: New Mexico state Reps. Rebecca Dow and Stefani Lord are calling for a broader investigation into activities linked to late financier and sex offender Jeffrey Epstein's Zorro Ranch, urging the state's Truth Commission to examine not only individual misconduct but also systemic failures. MORE: https://bit.ly/3Pjdo4Q",Newmexico=neutral(0.0); Rep=neutral(0.0); Rebeccadow=neutral(0.0); Stefani Lord=neutral(0.0); Jeffreyepstein=neutral(0.0); Zorroranch=neutral(0.0); Truthcommission=neutral(0.0),Rebeccadow --proposes_action--> calling for a broader investigation into activities linked to late financier and sex offender Jeffrey Epstein 's Zorro R (0.55),,,,,,,,,
Right-wing,​Oscars omit famed French actress Brigitte Bardot from In Memoriam segment  https://postmillennialnews.com/l3i3ie,Oscar=neutral(0.0); French=neutral(0.0); Brigitte Bardot=neutral(0.0); Inmemoriam=neutral(0.0),,,,,,,,,,
Right-wing,"Our sovereignty is non-negotiable. Build the wall, finish the job, protect our nation.",,,ביטחון והישרדות; ריבונות וזהות לאומית/קולקטיבית,,,,,,,,
Right-wing,"GAS PRICES RISE: AAA says the national average price for gas has jumped to nearly $3.80 a gallon, up from $2.98 before the U.S.-Israel war with Iran,  and the highest levels since 2023. https://bit.ly/4cTivlY",AAA=neutral(0.0); United States=neutral(0.0); Israel=neutral(0.0); Iran=neutral(0.0),,,,,,,,,,
Right-wing,London 1985 vs 2025,United Kingdom=neutral(0.0),,,,,,,,,,
Right-wing,"Globalists wanna weaken our sovereignty, but we won't let them. Our nation comes first, plain and simple.",,,ריבונות וזהות לאומית/קולקטיבית,,,,,,,,
Right-wing,"A guest column by attorney Aharon Gerber, deputy head of the legal department at the Kehalat, in the Makorashon newspaper on Saturday >> As part of the ""Guardians of the Gate"" campaign, the ombudsman and her people are trying to convince us that democracy is in danger. In her opinion, if there is someone to tell her what to do, or if, God forbid, the Prime Minister determines the tasks of the head of the Shin Bet, or if the Civil Service Commissioner is appointed to promote the government's policy - our dear country will change its face forever. In the consultant's imagined world, a reality in which the Prime Minister and the ministers run the country is an immediate threat. In the political theory she presents, if the government tries to implement its policy and appoints people who are committed to its view, In the democracy of Bahar-Miara, it is forbidden to have an influence on it. The government was responsible for its decisions, for better or for worse. In those days, there was a debate about the limits of the legal advisers' tenure. For the full article: https://www.makorrishon.co.il/opinions/article/184648",Aharon Gerber=neutral(0.0); Kehalat=neutral(0.0); Makorashon=neutral(0.0); Guardians=neutral(0.0); Ofthegate=neutral(0.0); God=neutral(0.0); Shinbet=neutral(0.0); Bahar-=neutral(0.0); Miara=neutral(0.0),(unattributed) --blames--> The government (0.35),,,,,,,,,
Right-wing,"​200,000 immigrant truck drivers set to lose CDL eligibility amid safety crackdown  https://postmillennialnews.com/ru75we",CDL=neutral(0.0),,ביטחון והישרדות,,,,,,,,
Right-wing,"The socialist policies being pushed would bankrupt this country, plain and simple.",,,,,,,,,,,
Right-wing,"America First, always. Why is that even controversial anymore, you know?",Americafirst=neutral(0.0),,,,,,,,,,
Right-wing,"From Shlomo Teitelbaum's article in Calcalist: ""If the market is not competitive, then a large part of the VAT waiver will not go to lowering the price for the consumer but to increasing the producer's profits. If we assume - this is what Dr. Michael Sharal from the Kehalat Economic Forum assumes - that only 70% will be passed on to the consumer, then NIS 1.2-1.5 billion from the loss of state revenue will go to increasing the profits of producers. Furthermore, if the goal of the policy is to help the weak, then the absolute majority of the money will not reach them at all. From an analysis conducted by Dr. Sharal, it appears that the monthly benefit for the weakest will amount to NIS 23-34 per month. On the other hand, the benefit for the top two deciles will be about NIS 75-98 per month. This means that only 7.3% of the revenue loss will reach the goal of the pre-planned policy. Would any member of the Knesset donate to a charity that out of 100 shekels, only 7.3 shekels are used for its activities?"" The full article>> https://www.calcalist.co.il/local_news/article/s1hhkjo811l",Shlomo Teitelbaum=neutral(0.0); Calcalist=neutral(0.0); Michaelsharal=neutral(0.0); Kehalateconomicforum=neutral(0.0); Shara=neutral(0.0); N=neutral(0.0); N=neutral(0.0); Knesset=neutral(0.0),,,,,,,,,,
Right-wing,"Illegal immigration isn't 'migration,' it's a violation of our laws. Call it what it is.",,,,,,,,,,,
Right-wing,"Honestly, this open border policy is a disaster for national security and our economy.",,,ביטחון והישרדות,,,,,,,,
Right-wing,"Affirmative action is just reverse discrimination, plain and simple. Merit should always rule.",,Merit --proposes_action--> rule . (0.35),,,,,,,,,
Right-wing,LIVE NOW: Texas Lawmakers Hold News Conference in Chicago https://www.theepochtimes.com/epochtv/live-now-texas-lawmakers-hold-news-conference-in-chicago-5896900,Texaslawmakers=neutral(0.0); Holdnewsconference=neutral(0.0); Chicago=neutral(0.0),,,,,,,,,,
Right-wing,"They want to rewrite history to fit their narrative, and it's just plain wrong.",,,,,,,,,,,
Russian,"Our traditional values are, well, they're under attack from these modern liberal agendas that don't fit our culture.",,,מסורת ומורשת,,,,,,,,
Russian,"When Kash Patel says cyber actors then I just think Russia has these guys working for them.  ""Sorry, C3PO and Johnny Five were just settling a bet on who could hack the most Americans. They were not doing this as members of Russian intelligence.""  - Putin  @Slavyangrad",Kash Patel=neutral(0.0); Russia=neutral(0.0); C3PO=neutral(0.0); Johnnyfive=neutral(0.0); United States=neutral(0.0); Russia=neutral(0.0); Putin=neutral(0.0); Slavyangrad=neutral(0.0),,,,,,,,,,
Russian,"🎖🎖 by Russian Defence Ministry on progress of special military operation as of 14 March 2026  ❗️ Last night, in response to Ukraine's terrorist attacks on civilian facilities on the territory of Russia, the Armed Forces of the Russian Federation carried out a massive strike by ground-, air-, and sea-based long-range precision weaponry and attack UAVs against enterprises of the Ukrainian defence industry, energy infrastructure facilities used for the benefit of the Armed Forces of Ukraine, as well as the military airfields.  ✅ The goals of the strike were achieved. All the assigned targets were engaged.  📍 Units of the Sever Group of Forces took more advantageous lines and positions. Manpower and hardware of the AFU mechanised brigade and one territorial defence brigade have been hit near Miropolye, Pisarevka, Novaya Sech, and Kondratovka (Sumy region).  💥 In Kharkov region, units of two mechanised brigades, one airmobile brigade, and one motorised infantry brigade of the AFU have been hit near Udy, Volchanskye Khutora, and Verkhniy Saltov (Kharkov region).  ▪️ The AFU losses amounted to more than 225 troops, 16 motor vehicles, one field artillery gun, and one U.S.-made MLRS launcher. One counter-battery warfare station, one ammunition depot, and seven materiel depots were neutralised.  📍 The Zapad Group of Forces improved the situation along the front line. Strikes were delivered at manpower and hardware of two mechanised brigades of the AFU, one territorial defence brigade, and one border detachment of the State Border Guard Service of Ukraine close to Novoosinovo, Grushevka (Kharkov region), Yatskovka, Rubtsy, and Krasny Liman (Donetsk People's Republic).  ▪️ The enemy losses amounted to up to 190 troops, one infantry fighting vehicle, two U.S.-made M113 armoured personnel carriers, seven armoured fighting vehicles, 21 motor vehicles, and four artillery guns, including one 155-mm Polish-made Krab self-propelled artillery system. One counter-battery warfare station and four ammunition depots were neutralised.  📍 The Yuzhnaya Group of Forces took more advantageous lines and positions. Russian troops hit one mechanised brigade, one motorised infantry brigade, one assault brigade of the AFU, and one marine brigade near Konstantinovka, Druzhkovka, Alekseyevo-Druzhkovka, Novoselovka, and Aleksandrovka (Donetsk People's Republic).  ▪️ The enemy lost up to 140 troops, one U.S.-made M113 armoured personnel carrier, three armoured fighting vehicles, ten motor vehicles, three field artillery guns, and one Grad MLRS combat vehicle. Five ammunition and materiel depots were eliminated.  👉 See Part 2   🔹 Russian Defence Ministry",Russiandefenceministry=neutral(0.0); Ukraine=neutral(0.0); Russia=neutral(0.0); Armedforcesoftherussianfederation=neutral(0.0); Ukraine=neutral(0.0); Armedforcesofukraine=neutral(0.0); Severgroupofforces=neutral(0.0); AFU=neutral(0.0); Miropolye=neutral(0.0); Pisarevka=neutral(0.0); Novaya=neutral(0.0); Sech=neutral(0.0); Kondratovka=neutral(0.0); Sumy=neutral(0.0); Kharkov=neutral(0.0); AFU=neutral(0.0); Udy=neutral(0.0); Volchanskye Khutora=neutral(0.0); Verkhniysaltov=neutral(0.0); Kharkov=neutral(0.0); AFU=neutral(0.0); U=neutral(0.0); S=neutral(0.0); Zapadgroupofforces=neutral(0.0); AFU=neutral(0.0); Stateborderguardserviceofukraine=neutral(0.0); Novoosinovo=neutral(0.0); Grushevka=neutral(0.0); Kharkov=neutral(0.0); Yatskovka=neutral(0.0); Rubtsy=neutral(0.0); U=neutral(0.0); Polish=neutral(0.0); Yu=neutral(0.0); Russia=neutral(0.0),,ביטחון והישרדות,,,,,,,,
Russian,"Our strength isn't just in weapons; it's in our spirit, our resilience, our, uh, our unity.",,,סולידריות ואחריות קולקטיבית,,,,,,,,
Russian,"❗️Andrei Belousov inspects Sever Group of Forces  ▫️ On 17 March 2026, during a working visit to the zone of the special military operation, the Russian Defence Minister inspected units of the Sever Group of Forces and heard reports on the progress of operations at the command post. The main focus was on the expansion of the security belt on the territory of Sumy and Kharkov regions as well as strengthening the defence of the border regions of the Russian Federation.  💬 Commander of the Sever Group of Forces Colonel General Yevgeny Nikiforov reported to the Defence Minister on the successes of the units since the beginning of the year. As a result of cooperated actions, seven U.S.-made HIMARS and MLRS multiple rocket launchers were detected and destroyed.  📈 The commander also noted the increased effectiveness of the measures against enemy drones. Thanks to improved cohesion and training of FPV-interceptor teams, the effectiveness of long-range unmanned aerial vehicle engagement has been significantly improved.  💥 The Sever Group's Unmanned Systems Forces Commander reported to Andrei Belousov that an increase in the number of modern strike and reconnaissance drones made it possible to improve fire on enemy positions and provide continuous air surveillance in all directions.  ⚙️ He also added that an analysis centre had been set up at the unmanned system command post to assess the effectiveness of drone operators in real time. Maintenance elements equipped with programming equipment and 3D printers are deployed to ensure uninterrupted support of the units with UAVs. Thus, they can quickly prepare for the deployment unmanned aerial vehicles of various types. They are as follows: fixed-wing UAVs, hexacopters, copters, and FPV drones.  🤝At the end of the visit to the command post, Andrei Belousov presented state awards to servicemen of the Sever Group, who had distinguished themselves during combat missions. Those who showed courage, heroism and high professionalism in the special military operation received the Order of Courage and the Order 'For Merit Before Fatherland' with Swords, 1st and 2nd classes.   🔹 Russian Defence Ministry",Belous=neutral(0.0); Severgroupofforces=neutral(0.0); Russia=neutral(0.0); Sever Group Of Forces=neutral(0.0); Sumy=neutral(0.0); Kharkov=neutral(0.0); Russianfederation=neutral(0.0); Severgroupofforces=hero(0.15); Yevgeny Nikiforo=hero(0.15); U=neutral(0.0); S=neutral(0.0); M=neutral(0.0); Severgroup=neutral(0.0); Unmannedsystemsforces=neutral(0.0); Andreibelousov=neutral(0.0); U=neutral(0.0); U=neutral(0.0); Andreibelousov=neutral(0.0); Se=neutral(0.0); Russia=neutral(0.0); Ministry=neutral(0.0),,ביטחון והישרדות; יציבות וסדר,,,,,,,,
Russian,Meeting of the Agency for Strategic Initiatives Supervisory Board  bit.ly/3pWZqoA,Agencyforstrategicinitiativessupervisoryboard=neutral(0.0),,,,,,,,,,
Russian,It's funny how they call us the aggressors when they've been bombing countries for decades.,,they --attacks--> countries (0.45); they --proposes_action--> call us the aggressors when they 've been bombing countries for decades (0.35),,,,,,,,,
