text_id,narrative_name,text,predicted_entity,predicted_entity_type,was_reconstructed,n_fragments_merged,predicted_role,role_confidence,role_evidence,role_method,candidate_role,predicted_agency,gold_entity,gold_role,gold_agency,correct_incorrect_uncertain,annotator_notes
calibration_0009,Resistance,Israeli opposition leader Yair Lapid discusses potential Gaza ceasefire deal at the Knesset @aljazeeraenglish,Israel,MISC,False,1,unknown,0.0,Israeli opposition leader Yair Lapid discusses potential Gaza ceasefire deal at the Knesset @aljazeeraenglish,no_signal,unknown,unknown,,,,,
calibration_0009,Resistance,Israeli opposition leader Yair Lapid discusses potential Gaza ceasefire deal at the Knesset @aljazeeraenglish,Yair Lapid,PER,False,1,unknown,0.0,Israeli opposition leader Yair Lapid discusses potential Gaza ceasefire deal at the Knesset @aljazeeraenglish,no_signal,unknown,active,,,,,
calibration_0009,Resistance,Israeli opposition leader Yair Lapid discusses potential Gaza ceasefire deal at the Knesset @aljazeeraenglish,Gaza,LOC,False,1,unknown,0.0,Israeli opposition leader Yair Lapid discusses potential Gaza ceasefire deal at the Knesset @aljazeeraenglish,no_signal,unknown,unknown,,,,,
calibration_0009,Resistance,Israeli opposition leader Yair Lapid discusses potential Gaza ceasefire deal at the Knesset @aljazeeraenglish,Knesset,MISC,False,1,unknown,0.0,Israeli opposition leader Yair Lapid discusses potential Gaza ceasefire deal at the Knesset @aljazeeraenglish,no_signal,unknown,passive,,,,,
calibration_0010,Resistance,"The Americans should know if they start a war, this time it will be a regional war.",United States,MISC,False,1,unknown,0.0,"The Americans should know if they start a war, this time it will be a regional war.",no_signal,unknown,active,,,,,
calibration_0011,Resistance,Breaking | Direct Iranian impact in southern occupied Palestine,Iran,MISC,False,1,unknown,0.0,Breaking | Direct Iranian impact in southern occupied Palestine,no_signal,unknown,unknown,,,,,
calibration_0011,Resistance,Breaking | Direct Iranian impact in southern occupied Palestine,Palestine,LOC,False,1,unknown,0.0,Breaking | Direct Iranian impact in southern occupied Palestine,no_signal,unknown,passive,,,,,
calibration_0012,Resistance,"Wallah, I just want to see the sea once without having to go through three different checkpoints.",Wallah,LOC,False,1,unknown,0.0,"Wallah, I just want to see the sea once without having to go through three different checkpoints.",no_signal,unknown,unknown,,,,,
calibration_0013,Resistance,"decisive and severe dealing with people who cooperate with the enemy  🔹First Deputy of the Judiciary: The judicial system will deal hard with people who are infiltrators, mercenaries and traitors and who cooperate and accompany the enemy under these conditions, and these people will not be included in any friendship. @TasnimNews",Judiciary,ORG,False,1,unknown,0.0,🔹First Deputy of the Judiciary:,no_signal,unknown,passive,,,,,
calibration_0013,Resistance,"decisive and severe dealing with people who cooperate with the enemy  🔹First Deputy of the Judiciary: The judicial system will deal hard with people who are infiltrators, mercenaries and traitors and who cooperate and accompany the enemy under these conditions, and these people will not be included in any friendship. @TasnimNews",Tanin,ORG,False,1,unknown,0.0,@TasnimNews,no_signal,unknown,unknown,,,,,
calibration_0014,Resistance,They talk about 'international law' only when it suits their imperialistic agenda. It's a joke.,(none detected),,,,,,,,,,,,,,
calibration_0015,Resistance,"US Senator Chris Van Hollen sarcastically thanks Trump for the rise in gas prices:   ""Gas prices at one of my local stations in Maryland, today. All thanks to Donald Trump.""  Follow:  T.me/presstv",United States,LOC,False,1,unknown,0.0,"US Senator Chris Van Hollen sarcastically thanks Trump for the rise in gas prices:   ""Gas prices at one of my local stations in Maryland, today.",no_signal,unknown,unknown,,,,,
calibration_0015,Resistance,"US Senator Chris Van Hollen sarcastically thanks Trump for the rise in gas prices:   ""Gas prices at one of my local stations in Maryland, today. All thanks to Donald Trump.""  Follow:  T.me/presstv",Chrisvanhollen,PER,False,1,unknown,0.0,"US Senator Chris Van Hollen sarcastically thanks Trump for the rise in gas prices:   ""Gas prices at one of my local stations in Maryland, today.",no_signal,unknown,active,,,,,
calibration_0015,Resistance,"US Senator Chris Van Hollen sarcastically thanks Trump for the rise in gas prices:   ""Gas prices at one of my local stations in Maryland, today. All thanks to Donald Trump.""  Follow:  T.me/presstv",Trump,PER,False,1,unknown,0.0,"US Senator Chris Van Hollen sarcastically thanks Trump for the rise in gas prices:   ""Gas prices at one of my local stations in Maryland, today.",no_signal,unknown,passive,,,,,
calibration_0015,Resistance,"US Senator Chris Van Hollen sarcastically thanks Trump for the rise in gas prices:   ""Gas prices at one of my local stations in Maryland, today. All thanks to Donald Trump.""  Follow:  T.me/presstv",Maryland,LOC,False,1,unknown,0.0,"US Senator Chris Van Hollen sarcastically thanks Trump for the rise in gas prices:   ""Gas prices at one of my local stations in Maryland, today.",no_signal,unknown,passive,,,,,
calibration_0015,Resistance,"US Senator Chris Van Hollen sarcastically thanks Trump for the rise in gas prices:   ""Gas prices at one of my local stations in Maryland, today. All thanks to Donald Trump.""  Follow:  T.me/presstv",Donaldtrump,PER,False,1,unknown,0.0,"All thanks to Donald Trump.""",no_signal,unknown,passive,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Syrianarab,MISC,False,1,unknown,0.0,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.",no_signal,unknown,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",US Israeli,MISC,True,1,unknown,0.0,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.",no_signal,unknown,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Gaza,LOC,False,1,unknown,0.0,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.",no_signal,unknown,passive,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Lebanon,LOC,False,1,unknown,0.0,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.",no_signal,unknown,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Syria,LOC,False,1,unknown,0.0,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.",no_signal,unknown,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Iran,LOC,False,1,unknown,0.0,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.",no_signal,unknown,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Egypt,LOC,False,1,unknown,0.0,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.",no_signal,unknown,passive,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Turkey,LOC,False,1,unknown,0.0,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.",no_signal,unknown,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Saudiarabia,LOC,False,1,unknown,0.0,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.",no_signal,unknown,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Algeria,LOC,False,1,unknown,0.0,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.",no_signal,unknown,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Iraq,LOC,False,1,unknown,0.0,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.",no_signal,unknown,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Arab,MISC,False,1,uncertain,0.15,"""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.",rhetoric_lexicon:דה-לגיטימציה של היריב+rhetoric_lexicon:דה-לגיטימציה של היריב,aggressor,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Islamic,MISC,False,1,uncertain,0.15,"""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.",rhetoric_lexicon:דה-לגיטימציה של היריב+rhetoric_lexicon:דה-לגיטימציה של היריב,aggressor,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Netanyahu,PER,False,1,uncertain,0.15,"""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.",rhetoric_lexicon:דה-לגיטימציה של היריב+rhetoric_lexicon:דה-לגיטימציה של היריב,aggressor,passive,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Trump,PER,False,1,uncertain,0.15,"""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.",rhetoric_lexicon:דה-לגיטימציה של היריב+rhetoric_lexicon:דה-לגיטימציה של היריב,aggressor,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Zionist,MISC,False,1,unknown,0.0,"Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",no_signal,unknown,unknown,,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",Zionist,MISC,False,1,unknown,0.0,"Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",no_signal,unknown,unknown,,,,,
calibration_0017,Right-wing,Nearly 10% of Transportation Security Administration workers reportedly called in sick on Tuesday as the Democrats' partial government shutdown continued. MORE: https://bit.ly/4uEYK81,Transportationsecurityadministration,ORG,False,1,unknown,0.0,Nearly 10% of Transportation Security Administration workers reportedly called in sick on Tuesday as the Democrats' partial government shutdown continued.,no_signal,unknown,unknown,,,,,
calibration_0017,Right-wing,Nearly 10% of Transportation Security Administration workers reportedly called in sick on Tuesday as the Democrats' partial government shutdown continued. MORE: https://bit.ly/4uEYK81,Democrats,MISC,False,1,unknown,0.0,Nearly 10% of Transportation Security Administration workers reportedly called in sick on Tuesday as the Democrats' partial government shutdown continued.,no_signal,unknown,unknown,,,,,
calibration_0018,Right-wing,"Bombshell Whistleblower Report: Mueller's Anti-Trump Witch Hunters Drank on the Job, Tried to Doctor Records, Violated Security Rules  The startling whistleblower report uncovers numerous allegations against the Mueller team that many people haven’t heard of even to this day.  https://w-j.co/s/47c18",Bombshellwhistleblow,ORG,False,1,unknown,0.0,"Bombshell Whistleblower Report: Mueller's Anti-Trump Witch Hunters Drank on the Job, Tried to Doctor Records, Violated Security Rules  The startling whistleblower report uncovers numerous allegations against the Mueller team that many people haven’t heard of even to this day.",no_signal,unknown,unknown,,,,,
calibration_0018,Right-wing,"Bombshell Whistleblower Report: Mueller's Anti-Trump Witch Hunters Drank on the Job, Tried to Doctor Records, Violated Security Rules  The startling whistleblower report uncovers numerous allegations against the Mueller team that many people haven’t heard of even to this day.  https://w-j.co/s/47c18",Mueller,PER,False,1,unknown,0.0,"Bombshell Whistleblower Report: Mueller's Anti-Trump Witch Hunters Drank on the Job, Tried to Doctor Records, Violated Security Rules  The startling whistleblower report uncovers numerous allegations against the Mueller team that many people haven’t heard of even to this day.",no_signal,unknown,unknown,,,,,
calibration_0018,Right-wing,"Bombshell Whistleblower Report: Mueller's Anti-Trump Witch Hunters Drank on the Job, Tried to Doctor Records, Violated Security Rules  The startling whistleblower report uncovers numerous allegations against the Mueller team that many people haven’t heard of even to this day.  https://w-j.co/s/47c18",Anti Trumpwitchhunters,MISC,True,1,unknown,0.0,"Bombshell Whistleblower Report: Mueller's Anti-Trump Witch Hunters Drank on the Job, Tried to Doctor Records, Violated Security Rules  The startling whistleblower report uncovers numerous allegations against the Mueller team that many people haven’t heard of even to this day.",no_signal,unknown,active,,,,,
calibration_0018,Right-wing,"Bombshell Whistleblower Report: Mueller's Anti-Trump Witch Hunters Drank on the Job, Tried to Doctor Records, Violated Security Rules  The startling whistleblower report uncovers numerous allegations against the Mueller team that many people haven’t heard of even to this day.  https://w-j.co/s/47c18",Job,MISC,False,1,unknown,0.0,"Bombshell Whistleblower Report: Mueller's Anti-Trump Witch Hunters Drank on the Job, Tried to Doctor Records, Violated Security Rules  The startling whistleblower report uncovers numerous allegations against the Mueller team that many people haven’t heard of even to this day.",no_signal,unknown,passive,,,,,
calibration_0018,Right-wing,"Bombshell Whistleblower Report: Mueller's Anti-Trump Witch Hunters Drank on the Job, Tried to Doctor Records, Violated Security Rules  The startling whistleblower report uncovers numerous allegations against the Mueller team that many people haven’t heard of even to this day.  https://w-j.co/s/47c18",Doctorrecords,ORG,False,1,unknown,0.0,"Bombshell Whistleblower Report: Mueller's Anti-Trump Witch Hunters Drank on the Job, Tried to Doctor Records, Violated Security Rules  The startling whistleblower report uncovers numerous allegations against the Mueller team that many people haven’t heard of even to this day.",no_signal,unknown,unknown,,,,,
