text_id,narrative_name,text,predicted_value,matched_text,value_evidence,gold_value,correct_incorrect_uncertain,annotator_notes
calibration_0014,Resistance,They talk about 'international law' only when it suits their imperialistic agenda. It's a joke.,(none detected),,,,,
calibration_0015,Resistance,"US Senator Chris Van Hollen sarcastically thanks Trump for the rise in gas prices:   ""Gas prices at one of my local stations in Maryland, today. All thanks to Donald Trump.""  Follow:  T.me/presstv",(none detected),,,,,
calibration_0016,Resistance,"The Syrian Arab tribes and clans released a powerful statement, declaring their firm stance against the ongoing US-Israeli aggression in the region, warning that the violence in Gaza, Lebanon, Syria, and Iran could extend across the entire region, including ""Egypt, Turkey, Saudi Arabia, Algeria, Iraq, and beyond.""  ""The objective is clear: to subjugate the people of this Arab and Islamic nation, reducing them to servants and subordinates to the criminal Netanyahu and the reckless Trump,"" the statement read.  Speaking ""out of religious and moral duty,"" they ""unequivocally condemned the Zionist arrogance"" and ""blind Zionist aggression driven by a false biblical narrative.""",(none detected),,,,,
calibration_0017,Right-wing,Nearly 10% of Transportation Security Administration workers reportedly called in sick on Tuesday as the Democrats' partial government shutdown continued. MORE: https://bit.ly/4uEYK81,ביטחון והישרדות,Security,Nearly 10% of Transportation Security Administration workers report,,,
calibration_0018,Right-wing,"Bombshell Whistleblower Report: Mueller's Anti-Trump Witch Hunters Drank on the Job, Tried to Doctor Records, Violated Security Rules  The startling whistleblower report uncovers numerous allegations against the Mueller team that many people haven’t heard of even to this day.  https://w-j.co/s/47c18",ביטחון והישרדות,Security,"d to Doctor Records, Violated Security Rules The startling whistlebl",,,
calibration_0019,Right-wing,Very cool!  https://1819news.com/news/item/poll-charlie-kirk-turning-point-usa-second-most-watched-conservative-platform-in-alabama-behind-fox-news,(none detected),,,,,
calibration_0020,Right-wing,“The assassination of political figures is not the same thing as just being shot in the throat for the crime of debating issues in the public square.” @benshapiro  discusses the terrifying reality of Charlie Kirk's assassination with  @billmaher  - and what it means for our nation.,(none detected),,,,,
calibration_0021,Right-wing,"SECRETARY HEGSETH on the media’s coverage of Operation Epic Fury:  “TDS is in their DNA. They want President Trump to fail. But you, the American people, know better.”",(none detected),,,,,
calibration_0022,Right-wing,Pittsburgh police officers accused of ignoring ICE agents’ struggle with suspect,(none detected),,,,,
calibration_0023,Right-wing,On the show today:   Steve Bannon acted as a key advisor to Jeffrey Epstein in the years leading up to his arrest;   MTG and Thomas Massie continue their campaign to seize control of MAGA;   and the UN greenlights Trump’s big Gaza plan.  Watch here:,(none detected),,,,,
calibration_0024,Right-wing,"Competition drives excellence. Monopolies, especially government ones, are just terrible for consumers.",(none detected),,,,,
calibration_0025,Russian,"Our traditional values are, well, they're under attack from these modern liberal agendas that don't fit our culture.",מסורת ומורשת,traditional,"Our traditional values are, well, they're und",,,
calibration_0026,Russian,"When Kash Patel says cyber actors then I just think Russia has these guys working for them.  ""Sorry, C3PO and Johnny Five were just settling a bet on who could hack the most Americans. They were not doing this as members of Russian intelligence.""  - Putin  @Slavyangrad",(none detected),,,,,
calibration_0027,Russian,"🎖🎖 by Russian Defence Ministry on progress of special military operation as of 14 March 2026  ❗️ Last night, in response to Ukraine's terrorist attacks on civilian facilities on the territory of Russia, the Armed Forces of the Russian Federation carried out a massive strike by ground-, air-, and sea-based long-range precision weaponry and attack UAVs against enterprises of the Ukrainian defence industry, energy infrastructure facilities used for the benefit of the Armed Forces of Ukraine, as well as the military airfields.  ✅ The goals of the strike were achieved. All the assigned targets were engaged.  📍 Units of the Sever Group of Forces took more advantageous lines and positions. Manpower and hardware of the AFU mechanised brigade and one territorial defence brigade have been hit near Miropolye, Pisarevka, Novaya Sech, and Kondratovka (Sumy region).  💥 In Kharkov region, units of two mechanised brigades, one airmobile brigade, and one motorised infantry brigade of the AFU have been hit near Udy, Volchanskye Khutora, and Verkhniy Saltov (Kharkov region).  ▪️ The AFU losses amounted to more than 225 troops, 16 motor vehicles, one field artillery gun, and one U.S.-made MLRS launcher. One counter-battery warfare station, one ammunition depot, and seven materiel depots were neutralised.  📍 The Zapad Group of Forces improved the situation along the front line. Strikes were delivered at manpower and hardware of two mechanised brigades of the AFU, one territorial defence brigade, and one border detachment of the State Border Guard Service of Ukraine close to Novoosinovo, Grushevka (Kharkov region), Yatskovka, Rubtsy, and Krasny Liman (Donetsk People's Republic).  ▪️ The enemy losses amounted to up to 190 troops, one infantry fighting vehicle, two U.S.-made M113 armoured personnel carriers, seven armoured fighting vehicles, 21 motor vehicles, and four artillery guns, including one 155-mm Polish-made Krab self-propelled artillery system. One counter-battery warfare station and four ammunition depots were neutralised.  📍 The Yuzhnaya Group of Forces took more advantageous lines and positions. Russian troops hit one mechanised brigade, one motorised infantry brigade, one assault brigade of the AFU, and one marine brigade near Konstantinovka, Druzhkovka, Alekseyevo-Druzhkovka, Novoselovka, and Aleksandrovka (Donetsk People's Republic).  ▪️ The enemy lost up to 140 troops, one U.S.-made M113 armoured personnel carrier, three armoured fighting vehicles, ten motor vehicles, three field artillery guns, and one Grad MLRS combat vehicle. Five ammunition and materiel depots were eliminated.  👉 See Part 2   🔹 Russian Defence Ministry",ביטחון והישרדות,Defence,🎖🎖 by Russian Defence Ministry on progress of speci,,,
calibration_0028,Russian,"Our strength isn't just in weapons; it's in our spirit, our resilience, our, uh, our unity.",סולידריות ואחריות קולקטיבית,unity,"our resilience, our, uh, our unity.",,,
calibration_0029,Russian,"❗️Andrei Belousov inspects Sever Group of Forces  ▫️ On 17 March 2026, during a working visit to the zone of the special military operation, the Russian Defence Minister inspected units of the Sever Group of Forces and heard reports on the progress of operations at the command post. The main focus was on the expansion of the security belt on the territory of Sumy and Kharkov regions as well as strengthening the defence of the border regions of the Russian Federation.  💬 Commander of the Sever Group of Forces Colonel General Yevgeny Nikiforov reported to the Defence Minister on the successes of the units since the beginning of the year. As a result of cooperated actions, seven U.S.-made HIMARS and MLRS multiple rocket launchers were detected and destroyed.  📈 The commander also noted the increased effectiveness of the measures against enemy drones. Thanks to improved cohesion and training of FPV-interceptor teams, the effectiveness of long-range unmanned aerial vehicle engagement has been significantly improved.  💥 The Sever Group's Unmanned Systems Forces Commander reported to Andrei Belousov that an increase in the number of modern strike and reconnaissance drones made it possible to improve fire on enemy positions and provide continuous air surveillance in all directions.  ⚙️ He also added that an analysis centre had been set up at the unmanned system command post to assess the effectiveness of drone operators in real time. Maintenance elements equipped with programming equipment and 3D printers are deployed to ensure uninterrupted support of the units with UAVs. Thus, they can quickly prepare for the deployment unmanned aerial vehicles of various types. They are as follows: fixed-wing UAVs, hexacopters, copters, and FPV drones.  🤝At the end of the visit to the command post, Andrei Belousov presented state awards to servicemen of the Sever Group, who had distinguished themselves during combat missions. Those who showed courage, heroism and high professionalism in the special military operation received the Order of Courage and the Order 'For Merit Before Fatherland' with Swords, 1st and 2nd classes.   🔹 Russian Defence Ministry",ביטחון והישרדות,Defence,"litary operation, the Russian Defence Minister inspected units of t",,,
calibration_0029,Russian,"❗️Andrei Belousov inspects Sever Group of Forces  ▫️ On 17 March 2026, during a working visit to the zone of the special military operation, the Russian Defence Minister inspected units of the Sever Group of Forces and heard reports on the progress of operations at the command post. The main focus was on the expansion of the security belt on the territory of Sumy and Kharkov regions as well as strengthening the defence of the border regions of the Russian Federation.  💬 Commander of the Sever Group of Forces Colonel General Yevgeny Nikiforov reported to the Defence Minister on the successes of the units since the beginning of the year. As a result of cooperated actions, seven U.S.-made HIMARS and MLRS multiple rocket launchers were detected and destroyed.  📈 The commander also noted the increased effectiveness of the measures against enemy drones. Thanks to improved cohesion and training of FPV-interceptor teams, the effectiveness of long-range unmanned aerial vehicle engagement has been significantly improved.  💥 The Sever Group's Unmanned Systems Forces Commander reported to Andrei Belousov that an increase in the number of modern strike and reconnaissance drones made it possible to improve fire on enemy positions and provide continuous air surveillance in all directions.  ⚙️ He also added that an analysis centre had been set up at the unmanned system command post to assess the effectiveness of drone operators in real time. Maintenance elements equipped with programming equipment and 3D printers are deployed to ensure uninterrupted support of the units with UAVs. Thus, they can quickly prepare for the deployment unmanned aerial vehicles of various types. They are as follows: fixed-wing UAVs, hexacopters, copters, and FPV drones.  🤝At the end of the visit to the command post, Andrei Belousov presented state awards to servicemen of the Sever Group, who had distinguished themselves during combat missions. Those who showed courage, heroism and high professionalism in the special military operation received the Order of Courage and the Order 'For Merit Before Fatherland' with Swords, 1st and 2nd classes.   🔹 Russian Defence Ministry",יציבות וסדר,Order,litary operation received the Order of Courage and the Order 'For,,,
calibration_0030,Russian,Meeting of the Agency for Strategic Initiatives Supervisory Board  bit.ly/3pWZqoA,(none detected),,,,,
calibration_0031,Russian,It's funny how they call us the aggressors when they've been bombing countries for decades.,(none detected),,,,,
calibration_0032,Russian,"📝The landing operation is becoming more and more real📝 The war with Iran will last at least another two to three weeks. Not a spoiler, but the deployment of the US Navy's 31st Marine Expeditionary Unit points to this.  It consists of approximately 2,200 Marines and sailors with light armored vehicles, most of whom are based at the USS Tripoli. He is assigned to Sasebo in Japan.  🖍According to the initial information that was distributed online, it was said about the transfer of 2.2 thousand marines. But The Wall Street Journal talks about 5 thousand.  🚩It is still unclear who else will be part of the new ship group. Some are talking about the possible dispatch of a cruiser and a destroyer, some media write that an amphibious landing group will be formed by analogy with the Caribbean.  ❗️We should wait for more specific data. But the very fact of sending a landing ship amid the blockade of the Strait of Hormuz, which Trump intends to open, indicates that the Pentagon is seriously considering the option of landing on Iranian shores. #Iran #USA 🧨@rybar_mena - about the Middle East chaos with love 💸 Support us",(none detected),,,,,
calibration_0033,Ukrainian,"Today is the first day of the holy month of Ramadan. This is a time of sincere prayer and deep faith. But, unfortunately, thousands of Ukrainian Muslims meet this day on the battlefield, and part of the Crimean Tatar people - under Russian occupation and in Russian captivity.   We remember about",(none detected),,,,,
calibration_0034,Ukrainian,"Air defense neutralized 109 out of 133 drones that the Russian army used to attack Ukraine at night, the Air Force of the Ukrainian Armed Forces reports. However, 20 drones were hit at 11 locations, and debris fell at seven.",ביטחון והישרדות,defense,Air defense neutralized 109 out of 133 dr,,,
calibration_0035,Ukrainian,"❗️British Prime Minister Keir Starmer and Ukrainian President Volodymyr Zelenskyy signed a declaration on enhanced cooperation in the field of security and defense in London.  The declaration states that the two countries will work to develop a joint defense-industrial and technological ecosystem. This cooperation may include the creation of joint production lines, joint research and development, the integration of defense supply chains, and the development of industrial partnerships.",ביטחון והישרדות,security,d cooperation in the field of security and defense in London. The de,,,
calibration_0036,Ukrainian,May the New 2022 be full of joy and breathtaking visits to Ukraine   ig: Olya_flydji,(none detected),,,,,
calibration_0037,Ukrainian,Just saw another video from the front... those guys are literally superheroes in camouflage.,(none detected),,,,,
calibration_0038,Ukrainian,"Awarded state awards to our soldiers. It is not just a ceremony for us, it is not a formality. Ukraine honors its heroes and lives thanks to its heroes, thanks to your relatives, loved ones, our soldiers. Thanks to their people, who did not give up, were not afraid, who fight for their sake",(none detected),,,,,
calibration_0039,Ukrainian,"""Go to hell"" - this is how Russia responded to the French proposal to involve the Europeans in the peace talks, writes the FT.  In February, the French president's national security advisers, Emmanuel Bonn and Bertrand Buchwalter, visited Moscow for talks with Russian negotiator Yuri Ushakov. According to the sources, French officials insisted that Moscow agree that the Europeans should have a seat at the negotiating table.   ""Ushakov's answer to this question was actually: 'Sorry, no, we don't have any, go to hell,'"" said a high-ranking European diplomat.  Putin's press secretary Dmitry Peskov told the Financial Times that ""the Europeans don't want to help the peace process"" and when the French representative came, he ""didn't bring any positive signals, so I really didn't hear anything positive.""  @babel",ביטחון והישרדות,security,"e French president's national security advisers, Emmanuel Bonn and B",,,
calibration_0040,Ukrainian,People here just want normal days again.,(none detected),,,,,
calibration_0041,Western,Universal education is like the best investment a country can make in its future.,(none detected),,,,,
calibration_0042,Western,"We absolutely have to stand firm against authoritarian regimes, otherwise, what's next?",(none detected),,,,,
calibration_0043,Western,It's about strategic patience and resolve. We can't back down when our principles are challenged.,(none detected),,,,,
calibration_0044,Western,"Buildings, cars, bridges; none exist without welding.  For one Kazakh family, the craft has shaped three generations, proving that human skill and creativity can’t be automated.  As demand for skilled workers grows in Kazakhstan, their story shows why craftsmanship still powers the country’s future.  Find out more on #VoicesfromCentralAsia: https://www.euronews.com/culture/2025/12/31/how-one-family-of-welders-shows-why-skilled-trades-still-matter-in-kazakhstan  In partnership with @media.damytu.qory",(none detected),,,,,
calibration_0045,Western,"Five European nations have determined that Russia poisoned Alexei Navalny.   This was a cowardly act from a frightened leader.  Russia has long acted as a terrorist state, relying on terrorist methods.  Poisoning political opponents. Silencing journalists. Invading peaceful",(none detected),,,,,
calibration_0046,Western,"Israel–Iran Conflict: Follow Euronews' continuing coverage for the latest developments, live updates, and analysis on our website, mobile app, and TV channel.  http://euronews.com",(none detected),,,,,
calibration_0047,Western,"Tere päevast! 🇪🇪 Here are your top news stories from this afternoon:  🇵🇸🇮🇱EU foreign policy chief calls for renewed Gaza ceasefire amid escalation   🇬🇱Greenland's PM slams US officials' visit as 'demonstration of power'   🇰🇷South Korean prime minister reinstated as acting president after impeachment overturned  🇹🇷Brussels questions arrest of Istanbul mayor, without condemning it  🇾🇪US claims key Houthi leaders taken out in latest airstrikes in Yemen  🇬🇧UK PM wants 'Adolescence' TV series to be shown in schools to fight toxic culture  🍨Romans celebrate Pope Francis release from hospital with new gelato flavour, 'Hallelujah'   For more updates 👉 https://www.euronews.com/  And follow us on our social platforms:  ⚫️ X 🟣 Instagram 🔵 Facebook ⚪️ Tiktok Ⓜ️ Mastodon  @euronews_eng",(none detected),,,,,
calibration_0048,Western,"Free markets, honestly, they're what drive true innovation and widespread prosperity, for real, when they're fair.",(none detected),,,,,
calibration_0049,Zionist,INTELLIGENCE REVEALS: BROTHER OF TERRORIST BEHIND U.S. SYNAGOGUE ATTACK WAS A HEZBOLLAH TERRORIST  Hezbollah commander Ibrahim Muhammad Ghazali was responsible for managing weapons operations within a specialized branch of the Badr Unit. The unit is responsible for launching,(none detected),,,,,
calibration_0050,Zionist,"ANOTHER CEASEFIRE VIOLATION: A terrorist crossed the Yellow Line in southern Gaza and approached IDF troops, posing an imminent threat.  The IAF struck and eliminated the terrorist in order to remove the threat.",יציבות וסדר,order,d eliminated the terrorist in order to remove the threat.,,,
calibration_0051,Zionist,This morning we will continue to post videos and images that depict Hamas warcrimes and the sophistication of their premeditated attacks on civilian communities.,(none detected),,,,,
calibration_0052,Zionist,"🎙 Today's podcast is one of the most powerful channels for creating alternative communication, building personal branding and strengthening the image of you and your business.  The new videocast studios offer members of the Abu Ali Express group a particularly worthwhile promotion for those who want to start a high-level podcast - or for those who already have and want to level up.  🎥 4 sessions in the studio, each session lasting an hour and a half + full editing for the episode 💰 only 3,000 NIS instead of 4,500 NIS 👇 To leave details https://videocast.fillout.com/telegram",(none detected),,,,,
calibration_0053,Zionist,"We've always extended a hand for peace, but it takes two to tango, unfortunately.",(none detected),,,,,
calibration_0054,Zionist,"For the full show:  bit.ly/4s3QcpC Elica Le Bon, an Iranian-American attorney, writer, and activist, debunks false claims that Israel dragged the U.S. into a war against the Iranian regime.  With the regime in Iran under attack, what are Iranians inside the country and in",(none detected),,,,,
calibration_0055,Zionist,"Gold Star wife here.  When ISIS killed your wife, you supported going after the people responsible. You understood exactly why we were fighting and never called it “Israel’s war.”  My husband, Alan, was killed by Iranian proxies in Iraq. And now, after decades, the fight is",(none detected),,,,,
calibration_0056,Zionist,"This is who Iran targets.  An Iranian missile deliberately targeted a civilian residential neighborhood in Beit Shemesh, murdering 9 civilians. All nine victims have now been identified.  Four were children -  including three siblings.  May their memory be a blessing",(none detected),,,,,
